merchant_id,category_name,category_name_new
9723,FEMALE > Sale > Kleider > Markenkleider,Bekleidung > Damen > Kleider,
9723,FEMALE > Sale > Kleider > Partykleider,Bekleidung > Damen > Kleider,
9723,FEMALE > Sale > Oberteile,Bekleidung > Damen > Pullover & Strickjacken,
9723,FEMALE > Sale > Oberteile > Crop Tops,Bekleidung > Damen > Pullover & Strickjacken,
9723,FEMALE > Sale > Oberteile > Hemden & Blusen,Bekleidung > Damen > T-Shirts & Blusen > Blusen,
9723,FEMALE > Sale > Oberteile > T-Shirts & Trägershirts,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,FEMALE > Sale > Oberteile > Trägershirts & Camisoles,Bekleidung > Damen > T-Shirts & Blusen > T-Shirts,
9723,FEMALE > Sale > Röcke,Bekleidung > Damen > Röcke,
9723,FEMALE > Sale > Röcke > Miniröcke,Bekleidung > Damen > Röcke > Miniröcke,
9723,FEMALE > Sale > Schuhe,Schuhe > Damen,
9723,FEMALE > Sale > Schuhe > Sandalen mit Absatz,Schuhe > Damen > Sandalen,
9723,FEMALE > Sale > Shorts,Bekleidung > Damen > Hosen > Shorts,
9723,FEMALE > Sale > Taschen & Geldbörsen,Accessoires > Damen > Taschen > Geldbörsen,
9723,FEMALE > Sale > Taschen & Geldbörsen > Umhängetaschen,Accessoires > Damen > Taschen > Umhängetaschen,
9723,FEMALE > Schuhe > Sandalen mit Absatz,Schuhe > Damen > Sandalen,
9723,FEMALE > Schuhe > Stiefel,Schuhe > Damen > Stiefel,
9723,FEMALE > Shorts > Jeansshorts,Bekleidung > Damen > Hosen > Shorts,
9723,MALE >,Bekleidung > Herren,
9723,MALE > Accessoires,Accessoires > Herren,
9723,MALE > Accessoires > Gürtel,Accessoires > Herren > Gürtel,
9723,MALE > Accessoires > Krawatten,Accessoires > Herren > Hosenträger & Krawatten > Krawatten,
9723,MALE > Accessoires > Mützen & Hüte,Accessoires > Herren > Hüte/Mützen,
